variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,beta,beta,17.24122231392263,11.15669681945765,,
The probability that a venture-backed company is a technology company,IsTechCompany,beta,beta,7.371134534644499,2.585798854165698,,
The average total raised in millions USD for venture-backed companies,TotalRaised,normal,lognormal,,,2.743280501335082,0.5845588172723021
The average number of employees for venture-backed companies,Employees,normal,lognormal,,,3.6765276174955965,0.5691633971079949
The average number of employees for venture-backed companies that do not operate in the technology sector.,easy_0,normal,lognormal,,,4.125665678830333,0.712220683369485
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_1,normal,lognormal,,,3.2315278131405836,0.6605668134796
The average number of employees for venture-backed companies that have raised more than 1 million USD but no more than 4 million USD.,easy_2,normal,lognormal,,,2.685582508662612,0.5806194264579161
The average total raised in millions USD for venture-backed companies with at most 8 employees.,easy_3,normal,lognormal,,,1.60063978869405,0.6758800440943415
The average number of employees for venture-backed companies that are headquartered outside the United States.,easy_4,normal,lognormal,,,4.646420707701439,0.6412042708707251
The average number of employees for venture-backed companies that operate in the technology sector.,easy_5,normal,lognormal,,,4.40750346811504,0.793259859148874
The average number of employees for venture-backed companies that have raised no more than 1 million USD.,easy_6,normal,lognormal,,,2.5330441596996,0.7003462254398982
"The probability that a venture-backed company is based in the US, given that it has raised at most 1 million USD.",easy_7,beta,beta,8.832727235152618,5.932934841694733,,
The average number of employees for venture-backed companies that have raised more than 14 million USD in total funding.,easy_8,normal,lognormal,,,5.0458655375066215,0.5845588799559526
The average total raised in millions USD for venture-backed companies headquartered outside the US.,easy_9,normal,lognormal,,,2.1028484870838136,0.54469616619662
The average number of employees for venture-backed companies headquartered in the United States.,easy_10,normal,lognormal,,,3.9223675479098232,0.5386463206495603
"The probability that a venture-backed company is based in the US, conditional on having raised more than 14 million USD.",easy_11,beta,beta,15.742921180944172,2.3086946799063166,,
The average total raised in millions USD for venture-backed companies headquartered in the United States.,easy_12,normal,lognormal,,,3.4181552912953164,0.5969080601942566
The average total raised in millions USD for venture-backed companies that operate in the technology sector.,easy_13,normal,lognormal,,,3.4727697345547064,0.6235596675957008
The average total raised in millions USD for venture-backed companies with more than 8 but no more than 17 employees.,easy_14,normal,lognormal,,,2.5300383180273975,0.9534126193941432
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,normal,lognormal,,,5.241094360541926,0.7003462256437185
The average number of employees for venture-backed companies that have raised more than 4 million USD but no more than 14 million USD.,easy_16,normal,lognormal,,,3.7194805467073895,0.6584412977880478
