,mean,std,ground_truth,ground_truth_log_prob
0,0.4,0.05,0.4368693057644108,156.50603466812046
1,0.4,0.05,0.4368693057644108,156.50603466812046
2,1.0,0.2,0.4368693057644108,-2.4806469282359
3,0.5,0.15,0.4368693057644108,127.85081621147631
4,0.4,0.1,0.4368693057644108,141.18943181330158
5,0.35,0.05,0.4368693057644108,117.76769469907865
6,1.5,0.3,1.0978834294272068,68.89049689858302
7,1.1,0.5,1.0978834294272068,88.54607809590772
8,7.0,3.0,1.0978834294272068,-100.51069408875769
9,1.5,0.5,1.0978834294272068,72.1420092767362
10,1.2,0.5,1.0978834294272068,87.48861431662372
11,1.2,0.2,1.0978834294272068,128.41420666083795
12,1.5,0.5,9.843415617395952,-8352.149517360729
13,10.0,2.0,9.843415617395952,2.1054143291885343
14,8.0,2.0,9.843415617395952,-23.454377155111665
15,9.0,2.0,9.843415617395952,-3.0982073444257763
16,9.5,0.5,9.843415617395952,72.01870304255135
17,3.2,0.2,9.843415617395952,-33296.01237955295
18,1.2,0.3,1.2959934071907038,103.0384973200291
19,3.0,2.0,1.2959934071907038,74.33663235875686
20,1.2,0.8,1.2959934071907038,90.86540600648011
21,1.5,0.5,1.2959934071907038,95.98452898390703
22,1.0,0.2,1.2959934071907038,94.74201735162791
23,1.0,0.2,1.2959934071907038,94.74201735162791
24,0.9,0.042008402520840295,0.8626390131150734,102.21042574607917
25,0.6666666666666666,0.08466675133346033,0.8626390131150734,-293.5091226062684
26,0.3333333333333333,0.11785113019775792,0.8626390131150734,-1248.1044374021774
27,0.9,0.06546536707079771,0.8626390131150734,66.1147949016917
28,0.9,0.042008402520840295,0.8626390131150734,102.21042574607917
29,,,0.8626390131150734,
30,0.1,0.020652851724645427,0.136884605385407,40.8475938146706
31,0.13,0.03346344244392707,0.136884605385407,147.60755205347104
32,0.5,0.15075567228888181,0.136884605385407,-316.1501615055597
33,0.1,0.029851115706299676,0.136884605385407,73.17998244777858
34,0.11,0.03113369445942883,0.136884605385407,108.69442910188428
35,0.1,0.024413653763134785,0.136884605385407,62.081047867962
36,0.15,0.03552993438811508,0.1095779532043771,88.30985582198909
37,0.38,0.04829775633843391,0.1095779532043771,-2247.0182815653075
38,0.5,0.15075567228888181,0.1095779532043771,-381.62566209276594
39,0.2,0.03980148760839956,0.1095779532043771,-166.5708661971345
40,0.35,0.04746024913045392,0.1095779532043771,-1793.9562452467476
41,0.07,0.02538807703323638,0.1095779532043771,40.21870576808707
42,0.05,0.02168633278595001,0.036454840110654,136.95002408022
43,0.05,0.015372651298985449,0.036454840110654,146.57363968687633
44,0.5,0.15075567228888181,0.036454840110654,-656.7922110590537
45,0.05,0.04755948656056709,0.036454840110654,82.35068377101477
46,0.04,0.0194986671288573,0.036454840110654,145.51978091834536
47,0.05,0.02168633278595001,0.036454840110654,136.95002408022
48,0.25,0.0944911182523068,0.1069809229920304,-48.32581215803025
49,0.25,0.0944911182523068,0.1069809229920304,-48.32581215803025
50,0.2,0.03980148760839956,0.1069809229920304,-204.5241806140144
51,0.15,0.07791937224739796,0.1069809229920304,96.24905329814028
52,0.022727272727272728,0.010025023849093826,0.1069809229920304,-1192.5645907495243
53,0.11764705882352941,0.03174629836593329,0.1069809229920304,194.5621619095227
54,0.1,0.029851115706299676,0.1098361140449099,401.9365416699038
55,0.14285714285714285,0.05832118435198043,0.1098361140449099,297.4657037543165
56,0.5,0.28867513459481287,0.1098361140449099,-100.0
57,0.15,0.07791937224739796,0.1098361140449099,248.04647928088295
58,0.13,0.03346344244392707,0.1098361140449099,395.62432878194073
59,0.13,0.03346344244392707,0.1098361140449099,395.62432878194073
60,0.1,0.042008402520840295,0.0304103891439751,-48.00501379117782
61,0.09090909090909091,0.027286373872166557,0.0304103891439751,-156.7832524804491
62,0.6666666666666666,0.11785113019775792,0.0304103891439751,-1670.928637831852
63,0.04,0.027439773622801415,0.0304103891439751,98.12071720192655
64,0.03,0.0053917463841439235,0.0304103891439751,201.17131150838145
65,,,0.0304103891439751,
66,200.0,10.0,188.1221353263126,7.18282341012793
67,200.0,10.0,188.1221353263126,7.18282341012793
68,200.0,10.0,188.1221353263126,7.18282341012793
69,200.0,10.0,188.1221353263126,7.18282341012793
70,195.0,5.0,188.1221353263126,17.877285225017797
71,193.0,5.0,188.1221353263126,28.99161912140754
72,100.0,5.0,100.38684903677463,25.099077652598467
73,100.0,10.0,100.38684903677463,4.655903680586993
