,mean,std,ground_truth,ground_truth_log_prob
0,100.0,30.0,94.3918270930874,98.56708181477063
1,50.0,20.0,94.3918270930874,97.8930558037054
2,250.0,30.0,94.3918270930874,94.12896409849519
3,50.0,15.0,94.3918270930874,97.35517995094627
4,130.0,50.0,94.3918270930874,98.32033177318684
5,50.0,15.0,94.3918270930874,97.35517995094627
6,0.7142857142857143,0.053613330360057256,0.4734005686238454,-4467.37252429363
7,0.7,0.13816985594155148,0.4734005686238454,-260.25330958192507
8,0.5,0.15075567228888181,0.4734005686238454,493.54105788780004
9,0.6153846153846154,0.13002373149669486,0.4734005686238454,223.09807176865087
10,0.6,0.10690449676496976,0.4734005686238454,298.66980790047086
11,0.6,0.10690449676496976,0.4734005686238454,298.66980790047086
12,0.7142857142857143,0.053613330360057256,0.4274580250930025,-2869.2233944741693
13,0.7142857142857143,0.15971914124998499,0.4274580250930025,-254.67060307720712
14,0.5,0.15075567228888181,0.4274580250930025,126.81654377825608
15,0.6666666666666666,0.08466675133346033,0.4274580250930025,-670.7031417414217
16,0.6,0.14770978917519928,0.4274580250930025,-16.534716342092754
17,0.625,0.09682458365518543,0.4274580250930025,-252.7297587105985
18,50.0,15.0,27.092343523063217,99.06109922002523
19,20.0,10.0,27.092343523063217,99.31968564039605
20,30.0,5.0,27.092343523063217,99.47160705955545
21,50.0,20.0,27.092343523063217,99.10468400593933
22,15.0,8.0,27.092343523063217,99.18888722857
23,55.0,12.0,27.092343523063217,98.8035070568568
24,75.0,25.0,68.85502978160159,86.61463118377988
25,50.0,15.0,68.85502978160159,85.81500480185348
26,150.0,50.0,68.85502978160159,80.25648779606887
27,50.0,15.0,68.85502978160159,85.81500480185348
28,100.0,50.0,68.85502978160159,83.86261546972689
29,140.0,25.0,68.85502978160159,73.70759393266269
30,150.0,50.0,113.45751908491242,94.58658860034815
31,30.0,15.0,113.45751908491242,79.71298474262736
32,100.0,30.0,113.45751908491242,95.3057697022184
33,50.0,15.0,113.45751908491242,86.6464796332488
34,50.0,20.0,113.45751908491242,90.49819370098434
35,100.0,25.0,113.45751908491242,95.45236146358184
36,200.0,30.0,256.85115173467653,79.06711967283037
37,200.0,75.0,256.85115173467653,81.0934193081604
38,400.0,75.0,256.85115173467653,75.84222618086964
39,100.0,20.0,256.85115173467653,-18.659949323054896
40,120.0,50.0,256.85115173467653,70.64399656421655
41,150.0,50.0,256.85115173467653,75.64885961942215
42,10.0,3.0,23.81036704959372,58.29424828486192
43,20.0,10.0,23.81036704959372,89.10816310331776
44,10.0,5.0,23.81036704959372,79.02751417658725
45,8.0,4.0,23.81036704959372,66.54955866858695
46,6.0,3.0,23.81036704959372,35.060386750244774
47,8.0,3.0,23.81036704959372,47.412084188742504
48,1.5,0.5,3.5290062040752512,88.62540848189536
49,3.0,1.5,3.5290062040752512,98.1356021892565
50,3.0,1.5,3.5290062040752512,98.1356021892565
51,7.0,3.0,3.5290062040752512,96.3872573567812
52,3.0,2.0,3.5290062040752512,97.78537053556714
53,3.0,1.0,3.5290062040752512,98.57626425209136
54,12.0,3.0,6.678734494347694,87.28722771964274
55,30.0,10.0,6.678734494347694,78.9660354898862
56,20.0,5.0,6.678734494347694,78.48251424485919
57,30.0,10.0,6.678734494347694,78.9660354898862
58,10.0,5.0,6.678734494347694,90.26714602643389
59,2.5,0.7,6.678734494347694,34.92371245530708
60,50.0,10.0,25.585287438747457,97.80496126428679
61,75.0,30.0,25.585287438747457,97.99085034617951
62,150.0,20.0,25.585287438747457,91.76638665485777
63,75.0,15.0,25.585287438747457,96.79579331563164
64,30.0,15.0,25.585287438747457,98.70097391536221
65,50.0,15.0,25.585287438747457,98.24748166176232
66,25.0,10.0,84.67986682602015,38.71540020865593
67,150.0,50.0,84.67986682602015,83.43503975487381
68,125.0,20.0,84.67986682602015,82.67005384946994
69,100.0,40.0,84.67986682602015,86.35835254621172
70,75.0,30.0,84.67986682602015,87.25874668870787
71,100.0,25.0,84.67986682602015,87.39458088936472
72,25.0,7.0,31.39549600912201,74.73887264485955
73,100.0,50.0,31.39549600912201,55.5745084720108
74,25.0,5.0,31.39549600912201,74.24473564067779
75,30.0,10.0,31.39549600912201,75.13107213840216
76,20.0,7.5,31.39549600912201,68.53631023347276
77,12.0,3.0,31.39549600912201,-76.37529703568612
78,30.0,10.0,34.618962940105895,95.17220630203046
79,20.0,10.0,34.618962940105895,93.77690552430231
80,150.0,30.0,34.618962940105895,83.0049028875155
