variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,beta,beta,13.485825712294593,8.963350312534107,,
The probability that a venture-backed company is a technology company,IsTechCompany,beta,beta,5.053528889930052,1.504780812868702,,
The average total raised in millions USD for venture-backed companies,TotalRaised,normal,lognormal,,,2.5330441596996,0.7003462254398982
The average number of employees for venture-backed companies,Employees,normal,lognormal,,,3.7388550977108235,0.6282405493635804
The average number of employees for venture-backed companies that do not operate in the technology sector.,easy_0,normal,lognormal,,,3.953273526987689,0.6412042709454849
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_1,normal,lognormal,,,3.269822601087156,0.682907032868467
The average number of employees for venture-backed companies that have raised more than 1 million USD but no more than 4 million USD.,easy_2,normal,lognormal,,,3.050198674831788,0.6410547611570164
The average total raised in millions USD for venture-backed companies with at most 8 employees.,easy_3,normal,lognormal,,,1.0694943491484803,0.7528863276779456
The average number of employees for venture-backed companies that are headquartered outside the United States.,easy_4,normal,lognormal,,,3.8859424273250287,1.1041998042034125
The average number of employees for venture-backed companies that operate in the technology sector.,easy_5,normal,lognormal,,,4.130523865082761,0.6491690271637213
The average number of employees for venture-backed companies that have raised no more than 1 million USD.,easy_6,normal,lognormal,,,1.6197824550161626,0.5386463210040928
"The probability that a venture-backed company is based in the US, given that it has raised at most 1 million USD.",easy_7,beta,beta,8.832727235152618,5.932934841694733,,
The average number of employees for venture-backed companies that have raised more than 14 million USD in total funding.,easy_8,normal,lognormal,,,4.66821703122611,0.6253640286882634
The average total raised in millions USD for venture-backed companies headquartered outside the US.,easy_9,normal,lognormal,,,3.5269619498684133,0.6017595699019355
The average number of employees for venture-backed companies headquartered in the United States.,easy_10,normal,lognormal,,,4.843731933483286,0.946067326426012
"The probability that a venture-backed company is based in the US, conditional on having raised more than 14 million USD.",easy_11,beta,beta,20.30906119462135,11.82550339575579,,
The average total raised in millions USD for venture-backed companies headquartered in the United States.,easy_12,normal,lognormal,,,3.3878832907671415,0.5328334090823085
The average total raised in millions USD for venture-backed companies that operate in the technology sector.,easy_13,normal,lognormal,,,3.436427661501074,0.5845588513838273
The average total raised in millions USD for venture-backed companies with more than 8 but no more than 17 employees.,easy_14,normal,lognormal,,,2.0523661035496454,0.5800492715191248
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,normal,lognormal,,,4.435580609151,0.5756906549500275
The average number of employees for venture-backed companies that have raised more than 4 million USD but no more than 14 million USD.,easy_16,normal,lognormal,,,3.953032218151099,0.756281068538346
The average number of employees for venture-backed companies that are headquartered in the United States and do not operate in the technology industry.,medium_0,normal,lognormal,,,4.129914655457215,0.8453581092958266
The average total raised in millions USD for venture-backed companies with 9 to 17 employees and headquartered outside the United States.,medium_1,normal,lognormal,,,1.5739289849476277,0.5725951267611792
The average number of employees for venture-backed companies that are technology companies and have raised more than 2 million USD but no more than 4 million USD.,medium_2,normal,lognormal,,,3.050198674831788,0.6410547611570164
The average number of employees for venture-backed companies operating in the tech sector and headquartered in the United States.,medium_3,normal,lognormal,,,4.345478226271867,0.8281745424582742
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are technology companies.,medium_4,normal,lognormal,,,4.366749264811974,0.814941901886919
"The probability that a venture-backed company is based in the US, given that it is not a technology company and has raised more than 1 million USD but no more than 4 million USD.",medium_5,beta,beta,8.832727235152618,5.932934841694733,,
The average number of employees for venture-backed companies that are located outside the United States and do not operate in the technology sector.,medium_6,normal,lognormal,,,3.923746976631991,0.9956109921232073
The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the United States.,medium_7,normal,lognormal,,,3.215573159117426,0.63330914307452
The average number of employees for venture-backed companies that have raised over 1 million USD but no more than 4 million USD and are not technology companies.,medium_8,normal,lognormal,,,3.2840388236142934,0.5435232597694419
The probability that a venture-backed company is based in the US when it has raised over 14 million USD in total funding and employs at most 28 people.,medium_9,beta,beta,8.819473790254325,3.855773148103213,,
