variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,beta,beta,18.456463093379487,11.989899493850277,,
The probability that a venture-backed company is a technology company,IsTechCompany,beta,beta,8.183465327879079,2.176938728739122,,
The average total raised in millions USD for venture-backed companies,TotalRaised,normal,lognormal,,,3.022512409126774,0.9628397284948941
The average number of employees for venture-backed companies,Employees,normal,lognormal,,,3.5640165094445893,1.3022046384689632
The average number of employees for venture-backed companies that do not operate in the technology sector.,easy_0,normal,lognormal,,,3.4393806360241532,0.9553024899640334
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_1,normal,lognormal,,,2.7476919137752662,0.39097812235838325
The average number of employees for venture-backed companies that have raised more than 1 million USD but no more than 4 million USD.,easy_2,normal,lognormal,,,3.210747024520566,0.5524236176093529
The average total raised in millions USD for venture-backed companies with at most 8 employees.,easy_3,normal,lognormal,,,1.2328151206262996,0.6905230467549439
The average number of employees for venture-backed companies that are headquartered outside the United States.,easy_4,normal,lognormal,,,3.924674993788489,0.6605668134812174
The average number of employees for venture-backed companies that operate in the technology sector.,easy_5,normal,lognormal,,,4.220930062266495,0.9017336478757054
The average number of employees for venture-backed companies that have raised no more than 1 million USD.,easy_6,normal,lognormal,,,2.4927070885340687,0.727937611863188
"The probability that a venture-backed company is based in the US, given that it has raised at most 1 million USD.",easy_7,beta,beta,5.83372838916133,3.935208242477281,,
The average number of employees for venture-backed companies that have raised more than 14 million USD in total funding.,easy_8,normal,lognormal,,,4.723505045456498,0.6893968444997001
The average total raised in millions USD for venture-backed companies headquartered outside the US.,easy_9,normal,lognormal,,,2.1596738829142517,0.7564773899027322
The average number of employees for venture-backed companies headquartered in the United States.,easy_10,normal,lognormal,,,3.9255476676530887,0.5286479057515533
"The probability that a venture-backed company is based in the US, conditional on having raised more than 14 million USD.",easy_11,beta,beta,8.994021581952047,4.9043664816912775,,
The average total raised in millions USD for venture-backed companies headquartered in the United States.,easy_12,normal,lognormal,,,2.7724731460159835,0.6287650056260675
The average total raised in millions USD for venture-backed companies that operate in the technology sector.,easy_13,normal,lognormal,,,2.9995185775838644,0.8397438261300346
The average total raised in millions USD for venture-backed companies with more than 8 but no more than 17 employees.,easy_14,normal,lognormal,,,2.2652703195177253,0.5871570376500558
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,normal,lognormal,,,3.8206376353094225,0.7262249323172113
The average number of employees for venture-backed companies that have raised more than 4 million USD but no more than 14 million USD.,easy_16,normal,gaussian,,,78.00000266332313,27.94442443966347
The average number of employees for venture-backed companies that are headquartered in the United States and do not operate in the technology industry.,medium_0,normal,lognormal,,,3.432518498362483,0.7122206832968399
The average total raised in millions USD for venture-backed companies with 9 to 17 employees and headquartered outside the United States.,medium_1,normal,lognormal,,,2.1185638379964415,0.8731466337892739
The average number of employees for venture-backed companies that are technology companies and have raised more than 2 million USD but no more than 4 million USD.,medium_2,normal,lognormal,,,2.999763805884057,0.4207847797446248
The average number of employees for venture-backed companies operating in the tech sector and headquartered in the United States.,medium_3,normal,lognormal,,,4.33985075967097,1.0035361440109538
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are technology companies.,medium_4,normal,lognormal,,,4.045819122336736,0.7662895464344883
"The probability that a venture-backed company is based in the US, given that it is not a technology company and has raised more than 1 million USD but no more than 4 million USD.",medium_5,beta,beta,8.994021581952047,4.9043664816912775,,
The average number of employees for venture-backed companies that are located outside the United States and do not operate in the technology sector.,medium_6,normal,lognormal,,,3.90311968042618,0.5964445417317028
The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the United States.,medium_7,normal,lognormal,,,3.050198674831788,0.6410547611570164
