variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,normal,gaussian,98.99999999811638,1.5602889799212039,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,normal,gaussian,200.00000009114854,8.850242602357515,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,normal,gaussian,0.9199999951061528,0.15602890418443527,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,normal,gaussian,0.29999998958399876,0.035171036541704906,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,normal,gaussian,0.8399999946166791,0.15028057935530098,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,normal,gaussian,9.799999998295641,1.0154785533155257,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,normal,gaussian,81.99999998624064,1.7585518245437362,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,beta,beta,,,12.554740676453338,100.0
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,beta,beta,,,16.46440531715429,100.0
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,beta,beta,,,55.47240343830816,1.0073582469791225
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,beta,beta,,,7.767694196084464,100.0
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,beta,beta,,,4.630148872573804,100.0
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,beta,beta,,,1.9357735579674493,7.003868647427551
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,beta,beta,,,5.036342235409176,100.0
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_0,normal,gaussian,76.20000015809624,2.922315496916025,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5",easy_1,beta,beta,,,6.914642492679449,30.495234765075054
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever been diagnosed with cancer by a doctor",easy_2,beta,beta,,,36.68267490854978,2.9608789490451803
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor",easy_3,beta,beta,,,4.874383752606063,30.593735189943622
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_4,beta,beta,,,32.055239472540045,1.6313378680494393
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given they have ever had a heart attack that was confirmed by a doctor",easy_5,beta,beta,,,7.954557911824789,21.442007981016932
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is greater than 110.7",easy_6,normal,gaussian,110.00000311150094,6.75264843969926,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they do not have health insurance",easy_7,normal,lognormal,-0.949015659794112,0.36495213162202206,,
