variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,beta,beta,32.686655976661015,21.735121911994504,,
The probability that a venture-backed company is a technology company,IsTechCompany,beta,beta,7.933284331312398,3.5210999054184957,,
The average total raised in millions USD for venture-backed companies,TotalRaised,normal,lognormal,,,2.743280501335082,0.5845588172723021
The average number of employees for venture-backed companies,Employees,normal,lognormal,,,4.664179828159337,0.8129288699140962
The average number of employees for venture-backed companies that do not operate in the technology sector.,easy_0,normal,lognormal,,,3.5631866954021256,0.7465930329830079
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_1,normal,lognormal,,,3.084142446025317,0.7570140018268351
The average number of employees for venture-backed companies that have raised more than 1 million USD but no more than 4 million USD.,easy_2,normal,lognormal,,,3.403646256746871,0.6074596581153723
The average total raised in millions USD for venture-backed companies with at most 8 employees.,easy_3,normal,lognormal,,,1.344617023600145,0.5907660649495207
The average number of employees for venture-backed companies that are headquartered outside the United States.,easy_4,normal,lognormal,,,4.662682348362135,0.803705469543872
The average number of employees for venture-backed companies that operate in the technology sector.,easy_5,normal,lognormal,,,3.7306903254403445,0.7766723145286096
The average number of employees for venture-backed companies that have raised no more than 1 million USD.,easy_6,normal,lognormal,,,2.565805631445337,0.8249214192450735
"The probability that a venture-backed company is based in the US, given that it has raised at most 1 million USD.",easy_7,beta,beta,7.365777729960544,4.97210574240471,,
The average number of employees for venture-backed companies that have raised more than 14 million USD in total funding.,easy_8,normal,lognormal,,,5.566151280978028,0.7537295005060243
The average total raised in millions USD for venture-backed companies headquartered outside the US.,easy_9,normal,lognormal,,,2.494452587242343,0.5535746553688892
The average number of employees for venture-backed companies headquartered in the United States.,easy_10,normal,lognormal,,,4.130523865082761,0.6491690271637213
"The probability that a venture-backed company is based in the US, conditional on having raised more than 14 million USD.",easy_11,beta,beta,8.994021581952047,4.9043664816912775,,
The average total raised in millions USD for venture-backed companies headquartered in the United States.,easy_12,normal,lognormal,,,3.00790793746137,0.7968793122911567
The average total raised in millions USD for venture-backed companies that operate in the technology sector.,easy_13,normal,lognormal,,,3.244878806267426,0.8346803384545788
The average total raised in millions USD for venture-backed companies with more than 8 but no more than 17 employees.,easy_14,normal,lognormal,,,2.48071823461114,0.661297924011963
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,normal,lognormal,,,4.408806770321804,0.962839728483329
