variable_name,variable,ground_truth,ground_truth_distribution_type,mean,std,a,b
The probability that a venture-backed company is based in the US,IsUSBased,0.4274580250930025,beta,,,31.90538226001921,13.867873210019193
The probability that a venture-backed company is a technology company,IsTechCompany,0.47340056862384544,beta,,,8.832727235152618,5.932934841694733
The average total raised in millions USD for venture-backed companies,TotalRaised,27.092343523063214,normal,32.19999671457188,21.639925861773825,,
The average number of employees for venture-backed companies,Employees,94.3918270930874,normal,97.00002629989568,61.80745634354526,,
The average number of employees for venture-backed companies that are headquartered in the United States.,easy_0,68.85502978160159,normal,146.99993117455315,104.33410755665902,,
The average number of employees for venture-backed companies headquartered outside the United States.,easy_1,113.45751908491242,normal,93.99999662372267,52.75655660529263,,
The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,easy_2,34.618962940105895,normal,92.0000137851609,63.37358218605681,,
The average number of employees for venture-backed companies that are technology companies.,easy_3,70.71898529939047,normal,183.00002655053103,107.65407604205264,,
The average total raised in millions USD for venture-backed companies headquartered outside the United States.,easy_4,21.47299330483979,normal,22.20000018120878,13.134584287970116,,
The probability that a venture-backed company is based in the US when it has raised at most 1 million USD.,easy_5,0.3227794900532362,beta,,,8.819473790254325,3.855773148103213
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_6,14.25118825404052,normal,17.400001266963898,10.378861408120276,,
The average number of employees for venture-backed companies that have raised more than 4 million USD and no more than 14 million USD in total funding.,easy_7,65.71121691322338,normal,58.99999855497741,23.69175404848767,,
The average number of employees for venture-backed companies operating outside the technology sector.,easy_8,115.67315802197211,normal,93.99999662372267,52.75655660529263,,
"The probability that a venture-backed company is based in the US, given that it has raised more than 14 million USD in total.",easy_9,0.5387967626917199,beta,,,14.941572887520296,4.242582086192155
The average number of employees for venture-backed companies that have raised more than 14 million USD.,easy_10,256.85115173467653,normal,87.00000214489776,51.89429562696226,,
The average number of employees for venture-backed companies that have raised at most 1 million USD in total.,easy_11,23.810367049593722,normal,11.600000079976779,4.936613473841722,,
The average total raised in millions USD for venture-backed companies with up to 8 employees.,easy_12,3.5290062040752512,normal,3.7000001733874304,2.1134291203616002,,
The average total raised in millions USD for venture-backed companies that have more than eight but at most seventeen employees.,easy_13,6.678734494347694,normal,11.200000369538106,6.439418920151774,,
The average total raised in millions USD for venture-backed companies operating in the technology sector.,easy_14,25.585287438747457,normal,142.39994039806044,106.78249247881068,,
The average total raised in millions USD for venture-backed companies where the number of employees exceeds 45.,easy_15,84.67986682602015,normal,77.00000428123023,41.981172019446724,,
The average number of employees for venture-backed companies that have raised more than 1 million USD and no more than 4 million USD.,easy_16,31.395496009122006,normal,29.600000193179348,11.746745288142312,,
The average number of employees for venture-backed companies that are based outside the US and are not technology companies.,medium_0,142.4984939759036,normal,77.00000428123023,41.981172019446724,,
The average total raised in millions USD for venture-backed companies that have no more than eight employees and are technology companies.,medium_1,2.5228256465260395,normal,3.99999997787016,2.0846875130421023,,
The average number of employees for venture-backed companies that have raised over 14 million USD and are headquartered outside the United States.,medium_2,371.38213277702783,normal,96.00000750699671,37.72847303257136,,
