variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,normal,gaussian,97.99999998624064,1.7585518245437362,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,normal,gaussian,194.99999999831545,6.52271520364194,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,normal,gaussian,1.1999999880672323,0.2212560620539265,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,normal,lognormal,-0.8330224782533049,0.4892354667654154,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,normal,gaussian,0.9299999951915666,0.19855561705577054,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,normal,gaussian,9.999999998912715,1.8160351439978177,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,normal,gaussian,83.9999999992879,2.2125606054635774,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,beta,beta,,,12.554740676453338,100.0
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,beta,beta,,,15.195648871453919,100.0
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,beta,beta,,,100.0,8.32882200036454
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,beta,beta,,,7.962348532101235,100.0
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,beta,beta,,,4.360246447717853,100.0
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,beta,beta,,,6.115407032385238,100.0
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,beta,beta,,,3.7582663683583064,100.0
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_0,normal,gaussian,80.59999933933133,2.666569780658348,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5",easy_1,beta,beta,,,6.363138069573812,27.594185524042125
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever been diagnosed with cancer by a doctor",easy_2,beta,beta,,,33.89698133646015,2.734065707837107
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor",easy_3,beta,beta,,,2.7199005282316775,14.417128603955366
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_4,beta,beta,,,41.077197526638216,2.4759438080542857
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given they have ever had a heart attack that was confirmed by a doctor",easy_5,beta,beta,,,5.776685203164767,13.13296028188313
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is greater than 110.7",easy_6,normal,gaussian,110.40000002307988,4.936613427852706,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they do not have health insurance",easy_7,normal,lognormal,-1.1876094521689833,0.3531026074066733,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is less than or equal to 87.9",easy_8,normal,gaussian,0.2979999950004813,0.07858928273526714,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is less than or equal to 0.35",easy_9,normal,gaussian,0.399999979569559,0.09080175920480911,,
