variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,normal,gaussian,115000.68560887946,9080.366928749325,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public",single_0,normal,gaussian,150000.9416355439,13620.317431208749,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",single_1,normal,lognormal,11.691812674317033,0.1364282386731221,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue",single_2,normal,lognormal,11.780215444387942,0.12840107823935337,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $500 million to $1 billion (USD) revenue",single_3,normal,gaussian,130999.99257147343,7743.936498136492,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 201 to 500 Employees",single_4,normal,gaussian,120000.00278719548,6522.69651406172,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in Remote",single_5,normal,lognormal,11.711717788637944,0.1602451510490522,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public",single_6,normal,gaussian,129999.6055062267,15602.82290222951,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue",single_7,normal,lognormal,11.895967619302523,0.1576679956075785,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Manufacturing sector",single_8,normal,lognormal,11.608044511708329,0.16974003726531775,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA",single_9,normal,gaussian,125000.12962791983,11062.78469519101,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Healthcare sector",single_10,normal,lognormal,11.67966930250537,0.22725318273389475,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 1 to 50 Employees",single_11,normal,lognormal,11.506113110041019,0.16334182824213714,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in NY",single_12,normal,gaussian,130599.89627936423,6836.036424423558,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in PA",single_13,normal,lognormal,11.527622397966258,0.15340044625207416,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Retail & Wholesale sector",single_14,normal,lognormal,11.611985516028428,0.1511018535860884,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in CA",single_15,normal,gaussian,151999.99869698248,20143.02887000124,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,normal,lognormal,11.764808887564419,0.20271589185409955,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,normal,lognormal,11.850353605078814,0.09866367921574169,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",double_2,normal,gaussian,160000.9416355439,13620.317431208749,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",double_3,normal,gaussian,99998.36536749748,14694.889704214633,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",double_4,normal,lognormal,11.849758943907256,0.14773201366312452,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",double_5,normal,lognormal,11.72468117789744,0.1250624670346344,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",double_6,normal,lognormal,11.913838390939738,0.1334148875656859,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",double_7,normal,lognormal,11.59048710872706,0.1692924186901366,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",double_8,normal,lognormal,11.84369932881842,0.14282597680130893,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in PA",double_9,normal,gaussian,109999.95721871214,13620.7216829266,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",double_10,normal,lognormal,11.934648381981294,0.16112152996134388,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",double_11,normal,lognormal,11.876183959971675,0.15560735432283712,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",double_12,normal,lognormal,11.903174907831652,0.11560478843615454,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",double_13,normal,lognormal,11.876183959971675,0.15560735432283712,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",double_14,normal,lognormal,11.736324635376597,0.11042537547664377,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",double_15,normal,gaussian,125999.9060463779,14611.611439546643,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",double_16,normal,gaussian,120000.68560887946,9080.366928749325,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",double_17,normal,lognormal,11.617362486261205,0.11887526126208618,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",double_18,normal,gaussian,144999.93606962808,11637.963197490075,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",double_19,normal,lognormal,12.128522891861929,0.18207004002751273,,
